# evalue %pos coverage querylength bitsocre alignlen %ident
2.8 100.00 11 27 9.61 3 100.00
2.8 100.00 33 6 9.68 2 50.00
2.8 62.50 29 27 13.69 8 50.00
2.8 64.29 51 27 15.21 14 14.29
2.8 64.29 51 27 15.21 14 14.29
2.8 83.33 16 36 14.43 6 66.67
2.9 100.00 50 4 9.82 2 100.00
2.9 100.00 50 4 9.82 2 100.00
2.9 62.50 28 28 13.11 8 37.50
2.9 71.43 25 28 13.11 7 57.14
2.9 75.00 57 7 9.55 4 75.00
3.0 100.00 18 11 8.32 2 100.00
3.0 100.00 50 4 9.82 2 100.00
3.0 100.00 50 4 9.82 2 100.00
3.0 100.00 50 4 9.82 2 100.00
3.0 100.00 50 4 9.82 2 100.00
3.0 100.00 50 4 9.82 2 100.00
3.0 100.00 50 4 9.82 2 100.00
3.0 100.00 8 36 11.10 3 100.00
3.0 54.55 75 29 13.49 22 18.18
3.0 58.33 33 36 15.38 12 33.33
3.0 80.00 45 11 8.32 5 20.00
3.1 100.00 50 6 9.51 3 66.67
3.1 100.00 50 6 9.51 3 66.67
3.1 50.00 25 31 10.86 8 37.50
3.1 75.00 25 31 14.79 8 12.50
3.2 100.00 11 27 10.63 3 100.00
3.2 100.00 11 27 10.63 3 100.00
3.2 100.00 18 11 8.32 2 100.00
3.2 100.00 36 11 11.75 4 50.00
3.2 63.64 28 39 14.34 11 54.55
3.2 75.00 36 11 11.75 4 75.00
3.3 100.00 28 7 8.52 2 100.00
3.3 100.00 42 7 9.03 3 66.67
3.5 100.00 42 7 9.55 3 100.00
3.5 100.00 50 4 9.32 2 50.00
3.5 60.00 51 29 13.49 15 6.67
3.6 100.00 50 6 9.51 3 66.67
3.6 66.67 25 36 14.05 9 22.22
3.6 66.67 25 36 14.05 9 22.22
3.7 100.00 25 8 7.01 2 50.00
3.7 100.00 37 8 10.78 3 100.00
3.7 100.00 8 36 10.62 3 66.67
3.7 100.00 9 42 14.69 4 100.00
3.7 75.00 9 42 10.63 4 50.00
3.7 75.00 9 42 14.18 4 50.00
3.9 100.00 50 4 9.32 2 50.00
4.0 50.00 20 39 11.98 8 50.00
4.0 66.67 30 39 14.81 12 33.33
4.0 71.43 35 40 14.87 14 14.29
4.0 83.33 15 40 12.02 6 66.67
4.1 100.00 28 7 6.46 2 50.00
4.1 100.00 36 11 11.26 4 50.00
4.1 100.00 57 7 11.09 4 75.00
4.1 50.00 88 9 10.60 8 50.00
4.1 66.67 75 4 9.32 3 66.67
4.2 100.00 33 6 8.95 2 100.00
4.2 100.00 50 6 8.95 3 33.33
4.2 57.14 77 9 10.60 7 42.86
4.2 66.67 54 11 10.77 6 50.00
4.3 100.00 33 6 8.95 2 100.00
4.3 100.00 33 6 8.95 2 100.00
4.3 66.67 32 28 12.87 9 44.44
4.3 66.67 50 6 8.95 3 66.67
4.4 100.00 15 33 13.28 5 60.00
4.4 100.00 27 11 10.77 3 66.67
4.4 100.00 27 11 10.77 3 66.67
4.6 100.00 42 7 9.03 3 66.67
4.6 100.00 42 7 9.03 3 66.67
4.6 58.33 30 40 15.51 12 41.67
4.6 58.33 30 40 15.51 12 41.67
4.6 66.67 32 28 12.11 9 33.33
4.6 66.67 44 27 13.69 12 33.33
4.6 80.00 12 40 11.00 5 20.00
4.6 80.00 12 40 11.00 5 20.00
4.7 100.00 33 9 7.49 3 33.33
4.7 100.00 42 7 9.03 3 66.67
4.7 66.67 33 9 7.49 3 33.33
4.9 100.00 50 8 9.70 4 50.00
4.9 60.00 83 6 8.95 5 60.00
5.0 37.50 20 39 11.51 8 37.50
5.0 57.14 19 36 11.64 7 28.57
5.0 57.14 19 36 11.64 7 28.57
5.0 75.00 10 39 11.51 4 75.00
5.0 75.00 36 11 10.28 4 50.00
5.0 87.50 22 36 12.60 8 25.00
5.0 87.50 22 36 12.60 8 25.00
5.1 47.37 46 41 14.14 19 26.32
5.1 75.00 36 11 7.83 4 25.00
5.1 80.00 12 41 11.73 5 60.00
5.1 85.71 17 41 11.73 7 28.57
5.2 66.67 15 40 13.51 6 66.67
5.2 66.67 15 40 13.51 6 66.67
5.2 66.67 21 42 13.68 9 44.44
5.3 45.00 71 28 12.61 20 15.00
5.4 100.00 10 37 10.64 4 50.00
5.4 100.00 25 8 9.16 2 100.00
5.4 100.00 28 7 8.52 2 100.00
5.4 100.00 37 8 9.16 3 66.67
5.4 60.00 71 7 8.52 5 40.00
5.4 70.00 37 27 12.67 10 40.00
5.4 70.00 37 27 12.67 10 40.00
5.4 83.33 16 37 14.68 6 66.67
5.5 100.00 27 11 10.28 3 66.67
5.5 66.67 22 27 12.67 6 50.00
5.5 66.67 22 27 12.67 6 50.00
5.5 66.67 27 11 10.28 3 66.67
5.6 57.14 38 36 15.38 14 42.86
5.6 75.00 11 36 9.67 4 50.00
5.7 100.00 18 33 11.73 6 33.33
5.7 100.00 36 11 10.28 4 50.00
5.7 42.86 63 11 10.28 7 42.86
5.7 50.00 72 11 10.28 8 50.00
5.7 58.33 42 28 12.35 12 33.33
5.7 77.78 27 33 13.79 9 11.11
5.7 83.33 21 28 11.60 6 50.00
5.8 100.00 7 42 10.12 3 100.00
5.8 66.67 23 39 14.81 9 22.22
5.8 73.33 35 42 16.22 15 26.67
5.8 75.00 10 39 10.57 4 75.00
5.8 75.00 9 41 13.18 4 75.00
5.9 100.00 33 6 7.83 2 100.00
5.9 53.85 46 28 12.61 13 23.08
5.9 80.00 15 33 12.76 5 80.00
6.0 58.33 30 40 14.51 12 41.67
6.0 58.33 30 40 14.51 12 41.67
6.0 75.00 100 4 8.31 4 50.00
6.0 80.00 12 40 11.50 5 80.00
6.0 80.00 12 40 11.50 5 80.00
6.1 42.86 17 39 11.04 7 42.86
6.1 75.00 100 4 8.31 4 50.00
6.2 100.00 28 7 8.52 2 50.00
6.2 62.50 20 39 12.93 8 62.50
6.2 83.33 16 36 13.00 6 50.00
6.3 50.00 40 40 13.01 16 31.25
6.3 50.00 40 40 13.01 16 31.25
6.3 57.14 19 36 10.20 7 57.14
6.3 57.14 19 36 10.20 7 57.14
6.3 57.14 38 36 10.20 14 35.71
6.3 57.14 38 36 10.20 14 35.71
6.3 66.67 16 36 11.16 6 33.33
6.3 66.67 16 36 11.16 6 33.33
6.3 66.67 38 31 12.46 12 33.33
6.3 72.73 27 40 12.50 11 45.45
6.3 72.73 27 40 12.50 11 45.45
6.3 83.33 16 36 15.49 6 66.67
6.3 83.33 16 36 15.49 6 66.67
6.4 62.50 88 9 10.08 8 25.00
6.5 100.00 42 7 8.01 3 66.67
6.5 57.14 19 36 13.00 7 42.86
6.5 66.67 42 7 7.49 3 66.67
6.5 66.67 42 7 8.52 3 66.67
6.6 54.55 37 29 12.49 11 27.27
6.9 100.00 25 8 8.63 2 100.00
6.9 100.00 28 7 8.01 2 100.00
7.1 100.00 5 39 10.10 2 100.00
7.1 53.85 30 42 13.17 13 46.15
7.1 80.00 15 33 11.22 5 60.00
7.1 85.71 22 31 12.46 7 28.57
7.2 100.00 10 29 9.52 3 33.33
7.2 70.00 34 29 14.49 10 20.00
7.2 75.00 28 28 11.31 8 37.50
7.2 83.33 15 39 12.93 6 50.00
7.3 100.00 50 6 9.17 3 66.67
7.3 57.14 35 39 12.90 14 28.57
7.3 60.00 38 39 12.90 15 20.00
7.4 43.75 55 29 13.68 16 31.25
7.4 62.50 20 40 11.00 8 62.50
7.4 62.50 20 40 11.00 8 62.50
7.4 73.33 37 40 14.51 15 6.67
7.4 73.33 37 40 14.51 15 6.67
7.4 75.00 13 29 10.13 4 75.00
7.4 80.00 12 40 11.00 5 20.00
7.4 80.00 12 40 11.00 5 20.00
7.5 100.00 7 39 10.57 3 66.67
7.6 50.00 72 11 9.79 8 25.00
7.6 60.00 45 11 9.79 5 60.00
7.6 66.67 27 11 9.79 3 66.67
7.6 66.67 27 11 9.79 3 66.67
7.6 75.00 11 36 9.72 4 75.00
7.6 75.00 11 36 9.72 4 75.00
7.7 55.56 21 42 12.15 9 33.33
7.7 66.67 75 4 7.81 3 33.33
7.7 71.43 16 42 13.68 7 42.86
7.7 83.33 9 65 13.61 6 50.00
7.8 100.00 25 4 7.81 1 100.00
7.8 100.00 33 9 10.08 3 66.67
7.8 100.00 42 7 8.01 3 66.67
7.8 100.00 7 41 10.76 3 66.67
7.8 53.85 36 36 13.48 13 30.77
7.8 60.00 27 36 11.10 10 20.00
7.8 70.00 37 27 11.14 10 20.00
7.8 70.00 37 27 11.14 10 20.00
7.8 83.33 22 27 12.67 6 50.00
7.8 83.33 22 27 12.67 6 50.00
7.8 88.89 21 41 14.63 9 33.33
7.9 100.00 25 4 7.81 1 100.00
7.9 61.54 30 42 12.66 13 15.38
7.9 62.50 19 42 12.66 8 25.00
8.0 100.00 11 36 12.60 4 75.00
8.0 100.00 11 36 12.60 4 75.00
8.0 100.00 15 33 12.25 5 60.00
8.0 100.00 17 39 13.37 7 42.86
8.0 100.00 28 7 6.98 2 50.00
8.0 100.00 28 7 6.98 2 50.00
8.0 100.00 28 7 8.01 2 100.00
8.0 100.00 8 36 12.12 3 100.00
8.0 100.00 8 36 12.12 3 100.00
8.0 50.00 57 7 8.01 4 50.00
8.0 58.33 44 27 11.65 12 33.33
8.0 66.67 30 39 13.37 12 16.67
8.1 66.67 19 31 11.96 6 50.00
8.2 46.15 33 39 13.40 13 23.08
8.2 57.14 34 41 12.70 14 28.57
8.2 63.64 37 29 12.00 11 36.36
8.3 100.00 33 6 8.66 2 50.00
8.3 66.67 19 31 11.96 6 50.00
8.3 71.43 22 31 11.96 7 42.86
8.3 77.78 31 29 11.99 9 33.33
8.4 100.00 33 6 7.83 2 100.00
8.4 100.00 33 6 8.66 2 50.00
8.4 75.00 66 6 7.83 4 25.00
8.5 100.00 25 4 7.81 1 100.00
8.5 100.00 50 4 7.81 2 50.00
8.5 75.00 44 9 9.56 4 50.00
8.6 50.00 64 31 11.84 20 15.00
8.7 100.00 10 28 10.59 3 33.33
8.7 100.00 50 4 7.81 2 50.00
8.7 53.85 30 42 12.66 13 15.38
8.7 60.00 30 33 10.70 10 30.00
8.7 70.00 35 28 10.59 10 30.00
8.8 100.00 25 4 7.81 1 100.00
8.8 100.00 25 4 7.81 1 100.00
8.8 100.00 50 4 7.81 2 50.00
8.8 100.00 50 4 7.81 2 50.00
8.8 100.00 50 4 7.81 2 50.00
8.8 100.00 50 4 7.81 2 50.00
8.8 100.00 7 41 10.76 3 66.67
8.8 50.00 54 11 9.79 6 50.00
8.8 54.55 40 27 13.18 11 45.45
8.8 54.55 40 27 13.18 11 45.45
8.8 66.67 54 11 9.79 6 50.00
8.8 75.00 14 27 9.61 4 75.00
8.8 75.00 14 27 9.61 4 75.00
8.8 80.00 12 41 10.28 5 60.00
8.8 85.71 25 28 11.83 7 42.86
8.9 44.00 62 40 12.50 25 20.00
8.9 44.00 62 40 12.50 25 20.00
9.0 100.00 18 11 9.30 2 100.00
9.0 100.00 18 11 9.30 2 100.00
9.0 100.00 18 11 9.30 2 100.00
9.0 100.00 27 11 9.79 3 66.67
9.0 100.00 5 39 10.10 2 100.00
9.0 100.00 5 39 10.10 2 100.00
9.0 100.00 5 39 10.10 2 100.00
9.0 46.67 38 39 12.43 15 20.00
9.0 55.56 21 41 11.73 9 44.44
9.0 63.64 26 41 12.21 11 36.36
9.0 66.67 42 7 7.49 3 66.67
9.0 71.43 17 41 13.18 7 42.86
9.0 75.00 36 11 9.79 4 50.00
9.0 75.00 57 7 7.49 4 75.00
9.0 80.00 13 36 12.05 5 60.00
9.1 100.00 12 39 12.45 5 40.00
9.1 53.85 33 39 12.45 13 30.77
9.2 100.00 23 17 10.45 4 75.00
9.2 100.00 7 41 10.28 3 66.67
9.2 50.00 24 33 12.76 8 12.50
9.2 71.43 21 33 12.76 7 28.57
9.2 83.33 18 33 12.76 6 33.33
9.3 100.00 33 6 8.66 2 50.00
9.3 100.00 33 6 8.66 2 50.00
9.3 100.00 8 36 10.62 3 66.67
9.3 42.86 38 36 13.95 14 35.71
9.3 54.55 30 36 13.57 11 27.27
9.3 54.55 30 36 13.57 11 27.27
9.3 54.55 82 40 13.01 33 15.15
9.3 54.55 82 40 13.01 33 15.15
9.3 57.14 25 27 10.63 7 42.86
9.3 57.14 25 27 10.63 7 42.86
9.3 60.00 13 36 11.16 5 60.00
9.3 60.00 13 36 11.16 5 60.00
9.3 71.43 25 27 12.16 7 14.29
9.3 71.43 25 27 12.16 7 14.29
9.4 100.00 28 7 6.46 2 100.00
9.4 100.00 28 7 6.46 2 100.00
9.4 100.00 28 7 6.46 2 100.00
9.4 100.00 28 7 8.52 2 100.00
9.4 53.85 36 36 10.62 13 23.08
9.4 57.14 38 36 11.16 14 21.43
9.4 57.14 38 36 11.16 14 21.43
9.4 71.43 17 40 12.00 7 42.86
9.4 71.43 17 40 12.00 7 42.86
9.4 71.43 19 36 10.62 7 28.57
9.4 75.00 22 36 13.00 8 50.00
9.4 77.78 22 40 12.50 9 33.33
9.4 77.78 22 40 12.50 9 33.33
9.5 100.00 14 27 12.16 4 75.00
9.5 100.00 14 27 12.16 4 75.00
9.5 100.00 18 11 9.30 2 100.00
9.5 100.00 33 6 7.27 2 50.00
9.5 100.00 33 6 7.27 2 50.00
9.5 100.00 50 4 7.31 2 50.00
9.5 100.00 50 4 7.31 2 50.00
9.5 100.00 50 4 7.31 2 50.00
9.5 66.67 54 11 9.30 6 33.33
9.5 71.43 10 65 13.10 7 57.14
9.5 85.71 16 42 11.14 7 28.57
9.6 100.00 33 6 7.27 2 50.00
9.6 100.00 33 9 9.56 3 66.67
9.6 100.00 42 7 7.49 3 33.33
9.6 57.14 77 9 9.56 7 42.86
9.6 60.00 48 31 11.84 15 6.67
9.6 60.00 55 9 9.56 5 40.00
9.6 66.67 22 40 12.00 9 33.33
9.6 66.67 22 40 12.00 9 33.33
9.6 75.00 36 11 9.30 4 50.00
9.7 100.00 10 29 10.02 3 66.67
9.7 100.00 50 4 7.31 2 50.00
9.7 100.00 50 4 7.31 2 50.00
9.7 100.00 50 4 7.31 2 50.00
9.7 58.33 41 29 13.00 12 33.33
9.7 77.78 23 39 12.93 9 33.33
9.7 80.00 12 39 11.51 5 60.00
9.8 100.00 10 40 12.00 4 75.00
9.8 100.00 10 40 12.00 4 75.00
9.8 100.00 28 7 6.46 2 100.00
9.8 100.00 33 6 7.27 2 50.00
9.8 60.00 71 7 7.49 5 60.00
9.8 66.67 42 7 9.03 3 66.67
9.8 75.00 57 7 7.49 4 25.00
9.8 75.00 57 7 7.49 4 25.00
9.9 100.00 17 28 11.31 5 40.00
9.9 100.00 28 7 7.49 2 100.00
9.9 100.00 42 7 7.49 3 33.33
9.9 100.00 42 7 7.49 3 66.67
9.9 50.00 25 40 12.00 10 40.00
9.9 50.00 25 40 12.00 10 40.00
9.9 56.25 38 42 12.15 16 18.75
9.9 60.00 71 7 7.49 5 40.00
9.9 63.64 27 40 12.97 11 27.27
9.9 70.00 27 37 12.15 10 30.00
10. 100.00 12 33 9.67 4 50.00
10. 100.00 16 6 8.15 1 100.00
10. 100.00 17 28 10.09 5 40.00
10. 100.00 18 11 9.30 2 100.00
10. 100.00 18 11 9.30 2 100.00
10. 100.00 18 11 9.30 2 100.00
10. 100.00 18 11 9.30 2 100.00
10. 100.00 20 29 13.00 6 33.33
10. 100.00 27 11 9.30 3 66.67
10. 100.00 33 6 7.27 2 50.00
10. 100.00 33 6 7.27 2 50.00
10. 100.00 33 6 7.27 2 50.00
10. 100.00 50 4 7.31 2 50.00
10. 100.00 50 4 7.31 2 50.00
10. 46.15 46 28 10.09 13 30.77
10. 50.00 33 36 14.05 12 33.33
10. 50.00 33 36 14.05 12 33.33
10. 60.00 17 28 10.09 5 60.00
10. 60.00 35 28 10.09 10 30.00
10. 66.67 21 28 10.09 6 16.67
10. 66.67 27 11 9.30 3 66.67
10. 66.67 75 4 7.31 3 66.67
10. 71.43 25 28 10.09 7 42.86
10. 75.00 14 28 10.09 4 50.00
10. 75.00 36 11 9.30 4 50.00
10. 80.00 17 29 10.51 5 40.00
11. 100.00 10 37 12.66 4 75.00
11. 100.00 11 27 9.61 3 66.67
11. 100.00 11 27 9.61 3 66.67
11. 100.00 11 36 9.67 4 50.00
11. 100.00 12 40 13.51 5 60.00
11. 100.00 12 40 13.51 5 60.00
11. 100.00 14 28 11.31 4 75.00
11. 100.00 16 6 8.15 1 100.00
11. 100.00 16 6 8.15 1 100.00
11. 100.00 16 6 8.15 1 100.00
11. 100.00 16 6 8.15 1 100.00
11. 100.00 18 11 9.30 2 100.00
11. 100.00 18 11 9.30 2 100.00
11. 100.00 18 11 9.30 2 100.00
11. 100.00 18 11 9.30 2 100.00
11. 100.00 25 8 7.55 2 100.00
11. 100.00 25 8 9.16 2 100.00
11. 100.00 27 11 9.30 3 66.67
11. 100.00 28 7 6.98 2 50.00
11. 100.00 33 6 7.27 2 50.00
11. 100.00 33 6 7.27 2 50.00
11. 100.00 33 6 7.27 2 50.00
11. 100.00 33 9 9.05 3 66.67
11. 100.00 50 4 7.31 2 50.00
11. 100.00 50 4 7.31 2 50.00
11. 100.00 50 4 7.31 2 50.00
11. 100.00 50 4 7.31 2 50.00
11. 100.00 5 36 9.67 2 100.00
11. 100.00 5 36 9.67 2 100.00
11. 100.00 6 65 12.59 4 75.00
11. 50.00 39 41 14.14 16 37.50
11. 50.00 47 17 9.95 8 50.00
11. 55.56 48 37 11.65 18 27.78
11. 57.14 17 39 11.02 7 28.57
11. 60.00 25 40 11.50 10 30.00
11. 60.00 25 40 11.50 10 30.00
11. 62.50 19 42 10.63 8 37.50
11. 62.50 20 39 13.37 8 50.00
11. 63.64 35 31 11.35 11 18.18
11. 64.29 33 42 10.63 14 7.14
11. 64.29 38 36 10.68 14 7.14
11. 64.29 38 36 10.68 14 7.14
11. 66.67 22 40 10.00 9 44.44
11. 66.67 22 40 10.00 9 44.44
11. 66.67 25 36 13.95 9 44.44
11. 66.67 42 7 8.01 3 66.67
11. 66.67 50 6 7.27 3 66.67
11. 66.67 7 42 10.12 3 66.67
11. 66.67 75 4 6.80 3 33.33
11. 70.00 23 42 14.69 10 40.00
11. 71.43 17 40 12.00 7 57.14
11. 71.43 17 40 12.00 7 57.14
11. 71.43 41 17 9.95 7 42.86
11. 72.73 28 39 11.98 11 27.27
11. 75.00 29 27 12.67 8 37.50
11. 75.00 29 27 12.67 8 37.50
11. 80.00 13 36 9.67 5 40.00
11. 80.00 16 31 11.47 5 40.00
11. 80.00 17 29 10.64 5 60.00
11. 80.00 18 27 12.16 5 60.00
11. 80.00 18 27 12.16 5 60.00
11. 80.00 45 11 9.30 5 20.00
11. 83.33 14 41 10.28 6 66.67
11. 83.33 14 42 10.12 6 33.33
11. 83.33 19 31 11.35 6 66.67
11. 85.71 19 36 10.68 7 14.29
11. 85.71 19 36 10.68 7 14.29
12. 100.00 10 29 11.00 3 66.67
12. 100.00 10 29 11.65 3 66.67
12. 100.00 11 27 11.14 3 100.00
12. 100.00 11 27 11.14 3 100.00
12. 100.00 11 36 12.12 4 75.00
12. 100.00 11 36 12.12 4 75.00
12. 100.00 12 33 11.22 4 75.00
12. 100.00 12 33 11.22 4 75.00
12. 100.00 13 29 11.50 4 25.00
12. 100.00 14 27 11.65 4 75.00
12. 100.00 14 27 11.65 4 75.00
12. 100.00 16 6 8.15 1 100.00
12. 100.00 16 6 8.15 1 100.00
12. 100.00 18 11 8.81 2 100.00
12. 100.00 22 9 7.49 2 50.00
12. 100.00 22 9 8.53 2 100.00
12. 100.00 22 9 8.53 2 100.00
12. 100.00 28 7 6.46 2 100.00
12. 100.00 28 7 6.46 2 100.00
12. 100.00 33 9 10.08 3 66.67
12. 100.00 33 9 8.53 3 66.67
12. 100.00 8 36 12.12 3 100.00
12. 100.00 8 36 12.12 3 100.00
12. 100.00 9 33 11.22 3 100.00
12. 35.29 47 36 11.10 17 29.41
12. 50.00 25 39 11.51 10 40.00
12. 50.00 28 28 9.58 8 12.50
12. 50.00 66 9 8.53 6 33.33
12. 52.94 42 40 11.50 17 23.53
12. 52.94 42 40 11.50 17 23.53
12. 55.00 68 29 11.14 20 15.00
12. 56.25 40 40 11.50 16 31.25
12. 56.25 40 40 11.50 16 31.25
12. 57.14 17 40 12.50 7 42.86
12. 57.14 17 40 12.50 7 42.86
12. 58.33 38 31 10.86 12 25.00
12. 60.00 35 28 10.59 10 30.00
12. 62.50 20 40 11.50 8 37.50
12. 62.50 20 40 11.50 8 37.50
12. 62.50 25 31 10.97 8 50.00
12. 64.29 35 39 11.51 14 21.43
12. 66.67 22 27 10.63 6 50.00
12. 66.67 22 27 10.63 6 50.00
12. 66.67 22 27 10.63 6 50.00
12. 66.67 22 27 10.63 6 50.00
12. 66.67 27 11 8.81 3 66.67
12. 66.67 27 11 8.81 3 66.67
12. 66.67 27 11 8.81 3 66.67
12. 66.67 42 7 8.52 3 66.67
12. 66.67 75 4 6.80 3 66.67
12. 70.00 58 17 9.95 10 30.00
12. 71.43 19 36 12.53 7 42.86
12. 75.00 12 31 10.97 4 75.00
12. 75.00 14 27 11.65 4 75.00
12. 75.00 14 27 11.65 4 75.00
12. 75.00 25 31 10.97 8 25.00
12. 75.00 27 29 13.00 8 25.00
12. 75.00 36 11 8.81 4 50.00
12. 75.00 36 11 8.81 4 50.00
12. 75.00 44 9 8.53 4 50.00
12. 75.00 9 41 11.73 4 75.00
12. 75.00 9 41 12.21 4 75.00
12. 77.78 13 65 12.59 9 22.22
12. 80.00 12 41 11.73 5 60.00
12. 80.00 13 36 11.10 5 60.00
12. 80.00 16 31 10.97 5 40.00
12. 80.00 17 28 9.58 5 20.00
12. 80.00 17 28 9.58 5 20.00
12. 80.00 17 29 10.02 5 60.00
12. 83.33 15 40 12.49 6 33.33
12. 83.33 22 27 10.63 6 50.00
12. 83.33 22 27 10.63 6 50.00
12. 85.71 22 31 12.46 7 42.86
12. 85.71 25 27 10.63 7 28.57
12. 85.71 25 27 10.63 7 28.57
13. 100.00 10 29 10.50 3 33.33
13. 100.00 10 39 11.04 4 75.00
13. 100.00 11 36 12.05 4 75.00
13. 100.00 12 33 9.67 4 50.00
13. 100.00 12 39 10.55 5 40.00
13. 100.00 15 40 11.00 6 33.33
13. 100.00 15 40 11.00 6 33.33
13. 100.00 18 11 8.32 2 100.00
13. 100.00 18 11 8.81 2 100.00
13. 100.00 18 11 8.81 2 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
13. 100.00 25 4 6.30 1 100.00
